,date,temp_overall,temp_variance
120,1990-01,34.101075268817205,6.333863811097295
121,1990-02,32.69761904761905,4.93040758989914
122,1990-03,42.00430107526882,8.254262577990175
123,1990-04,49.94666666666666,0.31189698659233756
124,1990-05,57.626881720430106,7.36831806717111
125,1990-06,70.61444444444443,2.3824723217841637
126,1990-07,72.89999999999999,0.09691676622860257
127,1990-08,72.22150537634407,0.7754113898845247
128,1990-09,67.33444444444444,13.421014469666801
129,1990-10,52.774193548387096,1.1392364263905463
130,1990-11,45.89111111111111,8.022318863666534
131,1990-12,28.970967741935485,1.2037562842155758
132,1991-01,22.373118279569894,5.394093178150015
133,1991-02,31.935714285714283,4.168502827994374
134,1991-03,41.60537634408602,8.653187309172978
135,1991-04,53.687777777777775,3.4292141245187793
136,1991-05,66.82903225806452,16.57046860480552
