,Entity,Code,Day,Human cases with highly pathogenic avian influenza A/H5N1 (monthly),yyyy_mm
403,Asia,,2002-01-07,0,2002-01
404,Asia,,2002-01-08,0,2002-01
405,Asia,,2002-01-09,0,2002-01
406,Asia,,2002-01-10,0,2002-01
407,Asia,,2002-01-11,0,2002-01
408,Asia,,2002-01-12,0,2002-01
409,Asia,,2003-01-01,0,2003-01
410,Asia,,2003-01-02,2,2003-01
411,Asia,,2003-01-03,0,2003-01
412,Asia,,2003-01-04,0,2003-01
413,Asia,,2003-01-05,0,2003-01
414,Asia,,2003-01-06,0,2003-01
415,Asia,,2003-01-07,0,2003-01
416,Asia,,2003-01-08,0,2003-01
417,Asia,,2003-01-09,0,2003-01
418,Asia,,2003-01-10,0,2003-01
419,Asia,,2003-01-11,1,2003-01
420,Asia,,2003-01-12,3,2003-01
421,Asia,,2004-01-01,23,2004-01
422,Asia,,2004-01-02,6,2004-01
423,Asia,,2004-01-03,2,2004-01
424,Asia,,2004-01-04,0,2004-01
425,Asia,,2004-01-05,0,2004-01
426,Asia,,2004-01-06,0,2004-01
427,Asia,,2004-01-07,3,2004-01
428,Asia,,2004-01-08,2,2004-01
429,Asia,,2004-01-09,3,2004-01
430,Asia,,2004-01-10,1,2004-01
431,Asia,,2004-01-11,0,2004-01
432,Asia,,2004-01-12,5,2004-01
433,Asia,,2005-01-01,14,2005-01
434,Asia,,2005-01-02,7,2005-01
435,Asia,,2005-01-03,19,2005-01
436,Asia,,2005-01-04,12,2005-01
437,Asia,,2005-01-05,6,2005-01
438,Asia,,2005-01-06,2,2005-01
439,Asia,,2005-01-07,5,2005-01
440,Asia,,2005-01-08,1,2005-01
441,Asia,,2005-01-09,5,2005-01
442,Asia,,2005-01-10,9,2005-01
443,Asia,,2005-01-11,12,2005-01
444,Asia,,2005-01-12,8,2005-01
445,Asia,,2006-01-01,23,2006-01
446,Asia,,2006-01-02,13,2006-01
447,Asia,,2006-01-03,11,2006-01
448,Asia,,2006-01-04,2,2006-01
449,Asia,,2006-01-05,19,2006-01
450,Asia,,2006-01-06,7,2006-01
451,Asia,,2006-01-07,6,2006-01
452,Asia,,2006-01-08,3,2006-01
453,Asia,,2006-01-09,4,2006-01
454,Asia,,2006-01-10,3,2006-01
455,Asia,,2006-01-11,2,2006-01
456,Asia,,2006-01-12,2,2006-01
