,date,price_per_dozen
175,1994-08,0.8949999809265137
176,1994-09,0.8550000190734863
177,1994-10,0.8100000023841858
178,1994-11,0.8569999933242798
179,1994-12,0.8730000257492065
180,1995-01,0.8820000290870667
181,1995-02,0.8629999756813049
182,1995-03,0.875
183,1995-04,0.8330000042915344
184,1995-05,0.8190000057220459
185,1995-06,0.824999988079071
186,1995-07,0.8790000081062317
187,1995-08,0.984000027179718
188,1995-09,0.9559999704360962
189,1995-10,0.9810000061988831
190,1995-11,1.0369999408721924
191,1995-12,1.159999966621399
192,1996-01,1.1549999713897705
193,1996-02,1.090999960899353
194,1996-03,1.1380000114440918
195,1996-04,1.0859999656677246
196,1996-05,1.0210000276565552
197,1996-06,0.9449999928474426
198,1996-07,1.0420000553131104
199,1996-08,1.0720000267028809
200,1996-09,1.149999976158142
