,date,temp_WA,temp_IN,temp_MO,temp_WI
74,1986-03,46.167741935483875,41.60645161290322,48.599999999999994,33.71935483870968
75,1986-04,45.806666666666665,52.3,58.95666666666667,48.36666666666667
76,1986-05,53.38709677419355,61.92580645161291,65.98709677419355,58.55483870967742
77,1986-06,61.68,69.97333333333333,76.17333333333333,66.12666666666667
78,1986-07,60.78709677419355,74.99677419354839,81.40322580645162,73.30000000000001
79,1986-08,69.13225806451612,69.01935483870967,73.0516129032258,66.49032258064516
80,1986-09,56.9,68.91666666666667,72.08333333333333,62.480000000000004
81,1986-10,52.76451612903226,54.932258064516134,57.5516129032258,50.10967741935484
82,1986-11,43.4,38.413333333333334,40.516666666666666,31.553333333333335
83,1986-12,37.97741935483871,31.729032258064517,35.07096774193548,24.69677419354839
