,date,price_per_dozen,disaster_deaths_adjusted,disaster_cost_adjusted,disaster_cost_unadjusted,human_outbreaks_per_million,human_illnesses_per_million,covid_hospitalization_per_million,temp_overall,infected_flock_cnt,infected_bird_cnt,infected_h5n1_people_cnt,gas_price_per_gallon,change_in_price_per_dozen
223,1998-08,1.0529999732971191,27.222222222222225,8.296000525194247,7.636752112435779,0.4453939686012405,15.06373097057854,0.0,73.80752688172043,0.0,0.0,0.0,1.108,0.08199995756149292
224,1998-09,1.0219999551773071,16.0,9.354535915693193,8.697095156691425,0.3183215630827952,11.88641654875074,0.0,69.72222222222223,0.0,0.0,0.0,1.091,-0.03100001811981201
225,1998-10,1.0479999780654907,31.0,7.500971647896878,6.849172295662804,0.3396567299006323,6.6016260162601625,0.0,55.61182795698925,0.0,0.0,0.0,1.099,0.026000022888183594
226,1998-11,1.0770000219345093,0.0,0.0,0.0,0.3826438676046895,7.407407701177574,0.0,44.88333333333333,0.0,0.0,0.0,1.086,0.029000043869018555
227,1998-12,1.0889999866485596,0.0,8.492080490601163,7.824445930877619,0.4400043453458077,6.520720134305085,0.0,34.02258064516129,0.0,0.0,0.0,1.046,0.011999964714050293
228,1999-01,1.0529999732971191,25.0,8.20977090964211,7.557733964140704,0.284653912540907,3.3257665984209765,0.0,22.653763440860217,0.0,0.0,0.0,1.031,-0.03600001335144043
229,1999-02,1.0779999494552612,0.0,0.0,0.0,0.327644571180435,4.547418608800983,0.0,35.56190476190476,0.0,0.0,0.0,1.014,0.02499997615814209
230,1999-03,1.0049999952316284,0.0,0.0,0.0,0.3274087903887966,5.497589359495398,0.0,36.49354838709677,0.0,0.0,0.0,1.048,-0.07299995422363281
231,1999-04,0.9419999718666076,0.0,0.0,0.0,0.4025880484744612,8.15240798160784,0.0,52.26222222222222,0.0,0.0,0.0,1.232,-0.06300002336502086
232,1999-05,0.8999999761581421,55.0,8.249130735744808,7.607431089377187,0.5638152869990576,11.06083492966304,0.0,62.48817204301074,0.0,0.0,0.0,1.233,-0.041999995708465465
233,1999-06,0.9490000009536744,55.77777777777778,6.280562243068383,5.629976412273921,0.4807174887892376,10.70493273542601,0.0,70.67222222222222,0.0,0.0,0.0,1.204,0.04900002479553234
234,1999-07,0.8799999952316284,55.77777777777778,6.280562243068383,5.629976412273921,0.4372132893636991,7.952264664738101,0.0,78.15913978494625,0.0,0.0,0.0,1.244,-0.06900000572204601
235,1999-08,1.0199999809265137,55.77777777777778,6.280562243068383,5.629976412273921,0.4546268023095693,11.845355030254844,0.0,72.0763440860215,0.0,0.0,0.0,1.309,0.13999998569488525
