,date,population_million
234,2005-08,295.7699890136719
235,2005-07,295.5199890136719
236,2005-06,295.260009765625
237,2005-05,295.0299987792969
238,2005-04,294.7799987792969
239,2005-03,294.55999755859375
240,2005-02,294.3800048828125
241,2005-01,294.2300109863281
242,2004-12,294.0199890136719
243,2004-11,293.79998779296875
244,2004-10,293.57000732421875
245,2004-09,293.30999755859375
246,2004-08,293.05999755859375
247,2004-07,292.80999755859375
248,2004-06,292.57000732421875
249,2004-05,292.3500061035156
250,2004-04,292.1099853515625
251,2004-03,291.8900146484375
252,2004-02,291.7200012207031
253,2004-01,291.54998779296875
254,2003-12,291.3599853515625
255,2003-11,291.1600036621094
256,2003-10,290.9200134277344
257,2003-09,290.6600036621094
258,2003-08,290.3900146484375
259,2003-07,290.1099853515625
260,2003-06,289.82000732421875
261,2003-05,289.54998779296875
262,2003-04,289.3999938964844
263,2003-03,289.260009765625
264,2003-02,289.1300048828125
265,2003-01,289.0
266,2002-12,288.79998779296875
267,2002-11,288.6099853515625
268,2002-10,288.3800048828125
269,2002-09,288.1300048828125
270,2002-08,287.8699951171875
271,2002-07,287.6300048828125
272,2002-06,287.3900146484375
273,2002-05,287.1499938964844
274,2002-04,286.92999267578125
275,2002-03,286.7200012207031
276,2002-02,286.5400085449219
277,2002-01,286.3399963378906
278,2001-12,286.1400146484375
279,2001-11,285.9200134277344
280,2001-10,285.69000244140625
281,2001-09,285.489990234375
282,2001-08,285.2200012207031
283,2001-07,284.9700012207031
284,2001-06,284.7300109863281
285,2001-05,284.489990234375
286,2001-04,284.2699890136719
287,2001-03,284.04998779296875
288,2001-02,283.8399963378906
289,2001-01,283.6499938964844
290,2000-12,283.44000244140625
291,2000-11,283.20001220703125
292,2000-10,282.9599914550781
293,2000-09,282.69000244140625
294,2000-08,282.4200134277344
295,2000-07,282.1600036621094
296,2000-06,281.8900146484375
297,2000-05,281.6400146484375
298,2000-04,281.4200134277344
299,2000-03,281.1600036621094
300,2000-02,280.94000244140625
301,2000-01,280.7300109863281
302,1999-12,280.4700012207031
303,1999-11,280.2200012207031
304,1999-10,279.95001220703125
305,1999-09,279.6499938964844
306,1999-08,279.3500061035156
307,1999-07,279.0400085449219
308,1999-06,278.75
309,1999-05,278.4599914550781
310,1999-04,278.20001220703125
311,1999-03,277.94000244140625
312,1999-02,277.739990234375
313,1999-01,277.5299987792969
314,1998-12,277.2699890136719
315,1998-11,277.0199890136719
316,1998-10,276.75
317,1998-09,276.45001220703125
318,1998-08,276.1600036621094
319,1998-07,275.8500061035156
320,1998-06,275.57000732421875
321,1998-05,275.29998779296875
322,1998-04,275.0400085449219
323,1998-03,274.7799987792969
324,1998-02,274.5799865722656
325,1998-01,274.3699951171875
326,1997-12,274.1099853515625
327,1997-11,273.8699951171875
328,1997-10,273.5899963378906
329,1997-09,273.2900085449219
330,1997-08,272.9700012207031
331,1997-07,272.6499938964844
332,1997-06,272.3599853515625
333,1997-05,272.0799865722656
334,1997-04,271.82000732421875
335,1997-03,271.55999755859375
336,1997-02,271.32000732421875
337,1997-01,271.0899963378906
338,1996-12,270.8599853515625
339,1996-11,270.6099853515625
340,1996-10,270.30999755859375
341,1996-09,270.0199890136719
342,1996-08,269.70001220703125
343,1996-07,269.3900146484375
344,1996-06,269.1099853515625
345,1996-05,268.8399963378906
346,1996-04,268.5799865722656
347,1996-03,268.32000732421875
348,1996-02,268.0899963378906
349,1996-01,267.8800048828125
350,1995-12,267.6700134277344
351,1995-11,267.44000244140625
352,1995-10,267.17999267578125
353,1995-09,266.8800048828125
354,1995-08,266.57000732421875
355,1995-07,266.2799987792969
356,1995-06,265.989990234375
357,1995-05,265.7200012207031
358,1995-04,265.4700012207031
359,1995-03,265.2099914550781
360,1995-02,264.9800109863281
361,1995-01,264.75
362,1994-12,264.510009765625
363,1994-11,264.260009765625
364,1994-10,264.0
365,1994-09,263.7200012207031
366,1994-08,263.4200134277344
367,1994-07,263.1300048828125
368,1994-06,262.8399963378906
369,1994-05,262.57000732421875
370,1994-04,262.32000732421875
371,1994-03,262.0400085449219
372,1994-02,261.80999755859375
373,1994-01,261.6000061035156
374,1993-12,261.3500061035156
375,1993-11,261.1000061035156
376,1993-10,260.8399963378906
377,1993-09,260.5400085449219
378,1993-08,260.2300109863281
379,1993-07,259.9200134277344
380,1993-06,259.6199951171875
381,1993-05,259.3399963378906
382,1993-04,259.07000732421875
383,1993-03,258.80999755859375
384,1993-02,258.57000732421875
385,1993-01,258.3299865722656
386,1992-12,258.05999755859375
387,1992-11,257.79998779296875
388,1992-10,257.5
389,1992-09,257.19000244140625
390,1992-08,256.8599853515625
391,1992-07,256.510009765625
392,1992-06,256.20001220703125
393,1992-05,255.88999938964844
394,1992-04,255.58999633789062
395,1992-03,255.2899932861328
396,1992-02,255.02999877929688
397,1992-01,254.77999877929688
398,1991-12,254.52999877929688
399,1991-11,254.27000427246094
400,1991-10,253.97000122070312
401,1991-09,253.64999389648438
402,1991-08,253.30999755859375
403,1991-07,252.97999572753906
404,1991-06,252.67999267578125
405,1991-05,252.2899932861328
406,1991-04,251.9600067138672
407,1991-03,251.67999267578125
408,1991-02,251.4499969482422
409,1991-01,251.2100067138672
410,1990-12,251.0
411,1990-11,250.77000427246094
412,1990-10,250.52999877929688
413,1990-09,250.22999572753906
414,1990-08,249.9199981689453
415,1990-07,249.6199951171875
416,1990-06,249.33999633789062
417,1990-05,249.0500030517578
418,1990-04,248.7899932861328
419,1989-07,246.82000732421875
420,1988-07,244.5
421,1987-07,242.2899932861328
422,1986-07,240.1300048828125
423,1985-07,237.9199981689453
424,1984-07,235.82000732421875
425,1983-07,233.7899932861328
426,1982-07,231.66000366210938
427,1981-07,229.47000122070312
428,1980-07,227.22000122070312
